文档,摘要,模型预测摘要
北京时间8月29日晚，西班牙国家队主教练博斯克公布了新一期国家队名单，阿隆索和哈维都已经宣布退出了国家队，托雷斯﹑皮克以及马塔等人落选。9月4日西班牙将与法国进行一场友谊赛。,西 班 牙 国 家 队 2 3 人 大 名 单 ： 皮 克 托 雷 斯 马 塔 落 选,阿 隆 索 宣 布 雷 克 斯 博 物 馆
北京时间8月29日，德国队主帅公布了世界杯后首期国家队21人大名单，拉姆、克洛泽和默特萨克已经宣布退出国家队，施魏因斯泰格因伤落选，戈麦斯和罗伊斯回归，9月3日，德国将与阿根廷进行一场友谊赛。,德 国 队 2 1 人 大 名 单 ： 戈 麦 斯 罗 伊 斯 回 归,德 国 首 家 队 友 与 泽 泰 国 家 队 友 谊 赛
夏季转会窗口即将关闭，各球队的引援工作将告一段落。而对国内体育解说圈来说，他们的“转会”热潮似乎也已尘埃落定。近日消息，资深评论员张路也将献声本赛季英超。面对名嘴济济的英超转播“赛场”，看哪位名嘴解说的比赛，将会成为球迷们幸福的烦恼。,张 路 解 说 将 现 英 超 赛 场,英 超 超 越 英 超 球 迷
在世界杯期间，就有媒体传言夏奇拉怀孕了，日前，夏奇拉在接受墨西哥一家媒体采访时亲口确认，她又为皮克怀上了一个男婴，“是的，传言是真的，我又怀孕了，米兰将会拥有一个弟弟。,皮 克 再 当 爹 夏 奇 拉 透 露 再 度 怀 上 男 孩,传 奇 一 个 米 兰 的 亲 子
据ESPN消息，在转会窗口关闭前，摩纳哥已收到了多份关于队中前锋法尔考的报价，皇马，切尔西，尤文图斯以及阿森纳均渴望签下法尔考以解决他们各自球队的锋线问题。摩纳哥已为租借法尔考一年标价2000万欧元。,摩 纳 哥 愿 出 租 法 尔 考 租 金 2 0 0 0 万 一 年,皇 马 考 察 法 解 的 哥
范加尔被记者问及曼联重建的工作量是否令他感到惊讶时说道：“是的，但这是一个有关于过去的问题，所以我不想回答。为什么？因为我想对莫耶斯以及弗格森爵士的工作表示尊重。我们正重建一只全新球队，我很遗憾但不得不说这需要花费时间.”,范 加 尔 ： 没 想 到 曼 联 需 如 此 大 规 模 重 建,莫 耶 斯 ： 不 要 时 间 不 重 要
在欧冠抽签结果出炉后，多特蒙德主帅克洛普表示，“我们在D组遇到老朋友，也有新面孔，我从来没有和安德莱赫特以及加拉塔萨雷比赛过。当然，众所周知，本小组毫无疑问阿森纳是最强的。,克 洛 普 : 本 组 中 老 朋 友 阿 森 纳 最 强,阿 森 纳 特 殊 组 织 欧 冠
北京时间8月29日凌晨，英超升班马莱斯特城官方宣布签下前国米中场坎比亚索，双方签约1年，坎比亚索将身披19号球衣。莱斯特城也确认了坎比亚索可以在周日对阵阿森纳的比赛中出场。,英 超 - 莱 斯 特 城 官 方 宣 布 坎 比 亚 索 加 盟,比 亚 莱 特 身 球 场 球 衣
今天凌晨，皮耶罗通过推特宣布，自己已经正式与印度超级联赛球队德里迪纳摩签约，并将担任印超联赛的形象大使。印超联赛要求每支球队都必须引进一名超级巨星，在此之前，已经有皮雷、特雷泽盖、卡普德维拉和永贝里等昔日巨星加盟。,皮 耶 罗 宣 布 加 盟 印 度 联 赛,印 度 超 级 球 队 将 签 约 超 级 杯
北京时间8月28日晚，英格兰队公布了即将参加欧预赛的新一届国家队的名单，鲁尼、乔哈特、威尔谢尔、斯图里奇、维尔贝克等人均在列，英格兰主帅霍奇森宣布鲁尼将担任英格兰的新任队长。,英 格 兰 公 布 最 新 名 单 ： 鲁 尼 成 新 队 长,英 格 兰 队 长 将 奇 尼 宣 布 任 欧 格 兰
据《天空体育》报道，欧足联主席普拉蒂尼表示，他不会挑战布拉特在国际足联的主席位置，“我已经做出决定，我将继续为欧足联服务。“随着普拉蒂尼退出，布拉特连任几乎没有悬念。,普 拉 蒂 尼 放 弃 参 选 F I F A 主 席 布 拉 特 连 任 几 无 悬 念,布 拉 特 ： 将 继 续 布 局 退 出 欧 冠
《每日邮报》：由于里斯本竞技俱乐部与第三方DoyenSports公司存在转会费纠纷，罗霍的球员登记手续尚未被批准，以至于还未取得劳工资格证。罗霍若想在周六曼联客场对阵伯恩利的比赛中出场，那么他必须在当地时间周五12点前克服这些问题。,罗 霍 因 转 会 纠 纷 仍 无 法 出 场,霍 恩 伯 爵 爷 服 务 竞 争 前 劳 资
《广州日报》：号称40年来第一次现场看足球的马云，2000万的“男人奖”显得十分业余。从营销效果来说，马云与他的阿里巴巴是赢足了眼球。但从结果来看，这是个败笔，既令球员压力陡增，又为很多幸灾乐祸者提供了冷嘲热讽的口实。,粤 媒 ： 马 云 2 0 0 0 万 “ 男 人 奖 ” 太 业 余,马 云 ： 赢 球 败 赢 球 场
周日，切尔西即将迎来与埃弗顿的英超比赛，但球队当家前锋迭戈-科斯塔恐将因伤无法出场，据《每日电讯》消息，科斯塔在周三的训练当中遭遇了大腿肌肉伤病，而这次受伤可能将使其休战至少6周的时间，目前切尔西仍在等待进一步的检查报告。,英 媒 ： 科 斯 塔 恐 因 伤 缺 阵 6 周,科 斯 塔 科 将 与 切 尔 西 或 因 病 伤 无 缘
本周加利亚尼已经承认，米兰正在联系托雷斯。但据《足球市场》消息，托雷斯拒绝租借，要求米兰买断。而米兰在努力卖人筹钱，他们希望把拉米出售给摩纳哥，但拉米不想离开。今夏米兰才以425万买断拉米，其中拉米自己还掏了50万。,为 引 进 托 雷 斯 米 兰 欲 卖 拉 米 筹 钱,摩 托 拉 雷 斯 加 拉 兰 租 借 加 纳 哥
前阿森纳门将阿穆尼亚宣布退役，结束了自己20年的职业生涯。今夏阿穆尼亚接近加盟意甲球队卡利亚里，但在卡利亚里的体检中阿穆尼亚被检查出心脏有问题，被迫选择退役。阿穆尼亚2004年加盟阿森纳，2012年离开枪手转投英冠球队沃特福德。,阿 穆 尼 亚 宣 布 退 役,穆 里 尼 亚 球 队 将 退 役
克洛泽在接受德国《时代周报》采访时表示，在范加尔治下效力的那些年是其职业生涯至今最为艰难的一段时光，“我没有感受到自由，他要求我在场上做一些我很难做到的跑位，我已经尽了全力，但有些时候还是达不到他的要求。,克 洛 泽 ： 为 范 加 尔 效 力 是 生 涯 最 艰 难 时 光,克 洛 泽 ： 我 要 求 离 职 我 们 没 有
阿森纳击败贝西克塔斯赛后，温格在接受采访时说道，“吉鲁今天进行了胫骨的修复手术，手术很顺利，但他将缺席三至四个月的时间，可能要到12月末才能复出比赛。我们并不是没人可用，我认为不能每次有球员受伤就要立刻买人。,温 格 证 实 吉 鲁 重 伤 将 缺 阵 3 - 4 个 月,温 格 ： 复 出 吉 格 斯 将 复 出
北京时间8月28日凌晨，埃托奥通过社交网站宣布退出喀麦隆国家队，“我要告诉大家，我将彻底结束我的国家队生涯，我要感谢所有非洲人民，以及那些无条件支持我球迷。”33岁的埃托奥自1996年首次代表国家队出战以来，共出场118次攻进55球。,埃 托 奥 宣 布 退 出 国 家 队,我 国 球 队 将 彻 底 退 出
北京时间8月28号凌晨，在为西班牙国家队出战114场比赛后，哈维-阿隆索正式宣布结束了自己的国家队生涯。阿隆索的退出意味着西班牙国家队已经失去了助他们开创历史的黄金一代中的两大核心球员，此前，哈维已经宣布结束了自己的西班牙国家队生涯。,阿 隆 索 宣 布 退 出 西 班 牙 国 家 队,哈 维 宣 布 退 出 国 家 队 队
穆勒在接受《图片报》采访时表示，“我觉得我们队有很多候选人都比我更加适合当队长，施魏因施泰格是副队长，此外我们还有经验丰富的门将诺伊尔，他是当今世界最为出色的守门员。我想我可以成为一名领袖，但我并不需要戴上队长袖标。,穆 勒 ： 暂 不 想 当 德 国 国 家 队 队 长,我 当 选 择 世 界 最 长 的 门
据ESPN英国报道，曼联主帅范加尔坦承迪马利亚的到来可能会迫使他对自己全新的3-5-2阵型做出调整，“迪马利亚已他需要适应我们的文化，但他不可能一下子就做出改变，这个过程需要时间，所以我们需要再看，迪马利亚到来之后我们是不是必须调整阵型。,范 加 尔 或 为 天 使 换 阵 形,马 尔 ： 利 需 改 变 曼 联 的 利 剑
拜仁主席鲁梅尼格已告知门兴格拉德巴赫俱乐部，最好接受他们关于德国小将希南-库尔特的报价，不然门兴将面临人财两空的局面，“如果今年转会协议未能达成，那么这名球员将在2015年以自由球员的身份加盟我们。,拜 仁 警 告 门 兴 降 低 妖 星 标 价 否 则 人 财 两 空,德 格 特 鲁 梅 格 局 将 转 会 成 为 转 会
今晚，亚冠1/4决赛次回合恒大将在主场迎战西悉尼，赛前，西悉尼主帅在接受采访时谈到了裁判的问题，他说：“每一场比赛的裁判都在辛勤工作，或许有时候我们不能够完全同意裁判的决定。但我想说的是，我们的胜利是应得的，我们是胜利者.”,西 悉 尼 主 帅 ： 裁 判 每 场 比 赛 都 在 辛 勤 工 作,胜 利 ： 我 们 都 是 我 的 胜 利
日前，足球数据网站《教练世界排名》公布了新一期的俱乐部主教练排名，皇马主帅安切洛蒂高居榜首，马竞主帅西蒙尼排名第2，拜仁主帅瓜迪奥拉第三。马蒂诺，赫苏斯，温格，孔蒂，布兰科，穆里尼奥，克洛普分列4至10位。恒大主帅里皮排在第32。,俱 乐 部 教 练 排 名 ： 安 帅 居 首,马 蒂 主 帅 ： 安 排 主 帅 ， 皇 马 主 帅
今晚马云将赴天河体育场观战恒大亚冠生死战，赛前，马云表示针对今晚的比赛将设立2000万人民币的男人奖，用以激励恒大，重点是无论输赢都发，希望队员们向男人们一样去战斗！,2 0 0 0 万 ！ 马 云 设 男 人 奖 激 励 恒 大 无 论 输 赢 都 发,马 云 ： 恒 大 战 术 激 情 人
今晚亚冠1/4决赛第二回合，恒大主场迎战西悉尼。赛前，恒大被告知由于西悉尼主客场球衣主色都为红色，所以恒大不得不穿黄色客场球衣，某俱乐部高层表示：”球迷穿红色球衣来观战，我们却穿着黄色球衣出场，这有多恶心啊.“,恒 大 被 迫 穿 客 场 球 衣 高 层 : 多 恶 心 啊,黄 西 球 场 主 场 球 迷 黄 衣 恒 大 战 场
天空体育足球专家杰米-雷德克纳普认为，三狮军团历任主帅挥霍了双德的天赋，”兰帕德和杰拉德很可能是英格兰足球历史上最为出色的中场球员中的两位，然而我们从未拥有一名能够激发他们最大战力的教练员，有人觉得双德无法兼容，但我并不这么认为.“,雷 德 克 纳 普 ： 双 德 天 赋 被 挥 霍,杰 德 雷 纳 ： 我 们 的 英 雄
范加尔在接受天空体育采访时说道：“我们正在打造一支球队，不可能在短时间内完成，我希望他们对俱乐部和我们的理念保持信心。迪马利亚会给我们带来巨大帮助，但不可能明天世界就会翻天覆地，他必须适应英超文化和曼联的理念。,范 加 尔 ： 球 迷 需 耐 心 天 使 加 盟 不 寄 望 立 竿 见 影,马 尔 ： 希 望 不 会 加 盟
北京时间8月27日早，巴萨官方宣布就道格拉斯的转会费问题同圣保罗俱乐部达成一致，转会费400万欧元，另有150万欧元的浮动条款，后者取决于所进行的比赛。道格拉斯将于本周晚些时候前往巴塞罗那接受体检，他将同巴萨签订一份5年的合同。,巴 萨 官 方 宣 布 道 格 拉 斯 将 加 盟 5 5 0 万 5 年,萨 拉 斯 将 签 下 巴 萨 同 意
北京时间8月27日凌晨，曼联在官网上正式宣布以创英超记录的5970万英镑的转会费，签下迪马利亚，合同长达5年。另据英媒消息，迪马利亚的周薪高达20万英镑。迪玛利亚说：“有很多俱乐部对我表示了兴趣，但是曼联是唯一一个能让我离开皇马加盟的俱乐部。,曼 联 宣 布 迪 马 利 亚 加 盟,迪 亚 曼 联 会 加 盟 曼 联
西班牙足协在官方声明中确认，西蒙尼因过度质疑裁判员判罚被禁赛两场，因攻击第四官员被禁赛4场，而在离场前冲主裁鼓掌以及在看台上继续表示不满则被分别禁赛一场……总共将被停赛8场。除此之外，西蒙尼还须缴纳4805欧元的罚款。,西 蒙 尼 被 禁 赛 8 场,西 班 牙 裁 判 罚 4 0 0 0 欧 欧 赛
巴萨主席巴托梅乌在接受官网采访时说道：“我们在联赛当中的对手有很多，但尤其是卫冕冠军马竞，他们仍将是我们非常强大的对手，我们理应对他们给予高度尊重。不过还是那句话，所有球队都是如此。,巴 萨 主 席 ： 马 竞 是 西 甲 争 冠 最 大 对 手,马 竞 ： 我 们 在 巴 萨 有 对 手
希斯菲尔德谈到了最近老东家拜仁和多特蒙德的嘴仗，他认为其实拜仁是尊重对手的。希帅还直指克罗斯加盟皇马是为了钱：“我不理解（克罗斯加盟皇马）。当我听说克罗斯离开的时候非常吃惊，我觉得最后起决定作用的还是钱。,希 斯 菲 尔 德 ： 克 罗 斯 为 钱 加 盟 皇 马,克 罗 斯 ： 我 是 我 的 钱
阿森纳主帅温格相信吉鲁本赛季能够打进25球，”上赛季吉鲁进了16个球，他的表现很有说服力，你永远都不能给任何球员设置任何极限，我觉得他每年都在进步，千万别说他进不了25个球。,温 格 ： 吉 鲁 有 能 力 单 赛 季 打 进 2 5 球,温 格 ： 我 的 不 是 个 别
巴萨主帅恩里克在接受采访时说道：“我始终认为梅西是世界上最好的球员，不仅如此，他能够在任何位置上成为世界最佳，如果他希望成为最佳防守球员，那么他便能够成为世界最佳的后防球员。他拥有着难得一见的职业素养。,恩 里 克 ： 梅 西 在 任 何 位 置 都 能 成 为 世 界 最 佳,克 里 ： 我 为 守 守 球 员
穆里尼奥希望英超能引入暂停时间给教练调整战术，“我希望足球比赛中上下半场能各有一次暂停，那样比赛将会更精彩，会很有趣。在巴西世界杯上就有“补水暂停，范加尔曾利用这个“暂停改变战术最终赢下比赛。,穆 帅 ： 希 望 教 练 能 叫 暂 停,希 望 加 拿 大 下 半 场 战 术
据德国的《图片报》报道称，在多特的训练中，格罗斯克罗伊茨和球队的霍夫曼发生冲突，性格火爆的格罗斯克罗伊茨被球队助教怒斥滚出训练场。在回到更衣室的路上，“大十字”甚至还和脾气同样火爆的球队主帅克洛普产生了言语冲突。,多 特 大 将 训 练 引 发 内 讧 被 驱 逐 出 场,霍 伊 斯 怒 斥 克 罗 斯
对于迪马利亚即将转会曼联的传闻，范加尔表示，“我一直觉得这事儿得由俱乐部来说，我喜欢迪马利亚，但我也喜欢梅西和比达尔，有很多球员是我喜欢的，但他们不能全都来曼联。等到时机合适，我们会对外宣布的，现在无可奉告。,范 加 尔 ： 我 喜 欢 迪 马 利 亚 也 喜 欢 梅 西,马 尔 ： 喜 欢 来 ， 我 们 来 了
在皇马和科尔多瓦的西甲联赛首轮赛前新闻发布会上，安切洛蒂说道：“迪马利亚为这支球队付出了很多，俱乐部非常感谢他，但是很遗憾，他还是决定要离开皇马。”对于赫迪拉，安帅表示他将会留下来。,安 帅 确 认 迪 玛 利 亚 将 转 会 赫 迪 拉 留 队,安 帅 ： 皇 马 留 下 的 安 帅 ， 谢 谢 皇 马
在西超杯第二回合马竞与皇马的比赛中，终场前C罗曾对戈丁连打三拳，吃到了一张黄牌，逃过了红牌。按照西甲纪律委员会的传统，C罗不会遭追罚，在当值裁判没有进行正确处罚的情况下，西甲纪委通常不会对违规球员进行追加处罚。,C 罗 铁 拳 三 连 击 戈 丁 或 逃 过 追 罚,C 罗 追 逃 纪 委 会 裁 判
《天空体育》旗下的西班牙资深转会专家巴尔格透露，“迪马利亚肯定将离开皇马加盟曼联，双方最终谈判订在下周初，曼联将为迪马利亚支付6000万-7000万欧元（4800万-5500万英镑）的转会费，迪马利亚将会穿上曼联7号球衣。,天 空 体 育 ： 迪 马 利 亚 即 将 加 盟 曼 联,加 盟 皇 马 将 加 盟 曼 联
英超第2轮，切尔西主场2-0击败莱斯特城，取得两连胜。本场比赛，托雷斯并没有入选大名单，赛后发布会上穆里尼奥说道：“我想保持原有的阵容，也要保持替补的平衡，有时替补中可以有两名中锋，但有时不行，我相信托雷斯会留下，球队需要他。,穆 帅 ： 托 雷 斯 会 留 队 切 尔 西 需 要 他,莱 特 斯 莱 托 雷 斯 ： 切 尔 西 队 主 持
五星体育广播《足球上海滩》：主持刘阳和姬宇阳在谈到恒大与西悉尼比赛中染红离场的张琳芃时表示，“虽然张琳芃是乖孩子，但他踢球有时太拼了，再加上一身纹身，很容易被裁判盯上，也很容易被对手利用，这样就会很吃亏。,沪 媒 ： 张 琳 芃 总 吃 亏 因 一 身 刺 青,加 拿 大 裁 判 ， 刘 亦 凡 身 上
在联赛揭幕战巴萨与艾尔切的赛前新闻发布会上，哈维表示红蓝军团本赛季至少需要拿一个冠军，“我们想取得一个好的开局，有竞争是件好事。所有球员都很重要。每个人都要做好准备，我们至少要拿到一个冠军。,哈 维 ： 巴 萨 至 少 要 拿 到 一 个 冠 军,哈 尔 滨 ： 夺 冠 军 团 夺 冠 军
据《卫报》报道，为了能转会利物浦，巴洛特利接受了一份8万英镑周薪的合同，相比在米兰的收入少了一半，但在合同中有一条特殊条款，如果巴神在红军效力期间没有出现”犯二“的行为，那么他将每年获得200万英镑的额外收入。,巴 神 转 会 利 物 浦 降 薪 5 0 %,英 特 利 ： 合 肥 红 米 将 于 2 0 0 0 万
西蒙尼在西超杯决赛后接受采访时说道：“如果联赛只有一两场比赛的话，那我们还有可能卫冕，但联赛总共有38轮，哪怕是表现不那么好的时候，巴萨也差点儿拿到冠军，还有皇马，想要在如此漫长的赛季当中保持竞争力是很困难的。,西 蒙 尼 ： 3 8 场 联 赛 马 竞 难 敌 巴 萨 皇 马,巴 萨 ： 不 能 拿 到 联 想
《北青网》：前天晚上，有网友在微博上称，北京国安队球员周挺因交通事故与他人发生肢体冲突。昨天，周挺在接受采访时表示自己是“自我保护进行还击”，昨天，警方证实确实接到这起警情，双方已在派出所进行了调解，周挺向被打者支付了3.5万元的医药费。,周 挺 撞 车 打 人 赔 3 . 5 万,安 徽 青 年 派 出 所 遭 肢 体 冲 击
日前，著名博彩公司Bwin开出了新赛季西甲的金靴赔率，C罗以1赔1.75居榜首，梅西1赔2.25第二，尽管苏亚雷斯因禁赛要到10月下旬才能复出，但他仍以1赔11排在第三。4至10位：曼祖基奇、本泽马、内马尔、贝尔、J罗、格列兹曼、贝拉。,西 甲 金 靴 赔 率 ： C 罗 力 压 梅 西 居 首 苏 神 禁 赛 仍 第 3,苏 亚 雷 斯 ： 赛 季 我 们 的 新 赛 季
西班牙超级杯次回合，马竞击败皇马，自1985年之后，首次捧起西超杯冠军。3年前西蒙尼接受马竞时，西甲16轮仅5胜4平7负排在第10，但如今，西蒙尼完成西甲、国王杯、西超杯的国内大满贯，还获得欧联杯、欧超杯，一共5个冠军奖杯！,大 满 贯 ! 西 蒙 尼 3 年 5 冠 造 全 欧 最 妖 队,西 班 牙 杯 竞 争 夺 冠 ， 皇 马 夺 冠 军
当地时间8月22日，巴萨官方宣布背伤刚刚痊愈回归不久的内马尔在训练当中脚踝受伤，为此他很可能错过北京时间下周一凌晨主场同埃尔切的联赛揭幕战，而具体的回归时间也无法确定。,内 马 尔 脚 踝 扭 伤 归 期 未 定 揭 幕 战 成 疑,马 尔 回 归 联 赛 ， 周 末 回 归
费迪南德在接受《每日邮报》采访时表示：““每个人都梦想着代表英格兰出场比赛，而我在退役之后的梦想就是执教这支球队。勒夫、克林斯曼开始执教德国队时都很年轻，穆里尼奥、瓜迪奥拉他们都不是什么年纪很大的人，但他们都获得了机会.”,费 迪 南 德 ： 希 望 退 役 后 执 教 三 狮 军 团,穆 勒 ： 梦 想 退 役 ， 都 是 梦 想
阿尔维斯表示苏亚雷斯无需做出任何改变，因为“有侵略性”的风格正是他的商标和个性，“他知道自己从哪里来、知道自己能够做什么，我建议他不要改变自己的个性，因为那正是他的商标。他是一名独一无二的球员，他会为了自己的目标战斗到最后.”,阿 尔 维 斯 ： 苏 亚 雷 斯 无 需 做 出 改 变,苏 亚 雷 斯 ： 阿 森 纳 为 何 不 知 道
曼联死忠飞人博尔特日前在接受采访时表示，虽然曼联新赛季第一场比赛就输了，但是我们应该给范加尔多一些时间，看看接下来会怎样，第二场比赛曼联应该会踢得更好些，如果又输了的话，我会打个电话找他聊聊。,博 尔 特 : 曼 联 再 输 球 我 要 和 范 加 尔 聊 聊,范 加 尔 ： 曼 联 会 会 比 赛 季 更 加 更 多
刘建宏在接受《博客天下》专访时说：“我说那些“喷子”是什么呢，就相当于蛤蟆，你晚上听到池塘里呱呱呱的声音，巨响，真正你打着手电去看，就发现也没什么东西，它就是声音大而已，但是它不能改变什么。,"刘 建 宏 ： 网 络 "" "" 喷 子 "" "" 是 蛤 蟆",刘 建 东 ： 我 的 声 音
据英国多家媒体报道，红军要求巴洛特利同意一条限制他的场内场外行为的“收敛条款”。罗杰斯承认，签约巴洛特利是一次冒险，但他相信，有相关协议的束缚，有安菲尔德特殊文化的熏陶，意大利人能够有所收敛。,英 媒 ： 利 物 浦 要 求 巴 神 签 订 “ 收 敛 条 款 ”,巴 洛 特 利 场 内 外 出 场
《北青报》：中国球队为何一出家门就吃亏？一名中国足协裁委会人士表示，“国内部分球员在国内比赛中养成了刁难、质疑、干扰裁判的陋习，在场上对裁判大呼小叫，因为裁判听懂中文，可到了国际赛场，外国裁判分不清你是喊冤还是谩骂，只会判你干扰执法,足 协 : 球 员 存 刁 难 裁 判 陋 习,中 国 足 协 ： 北 京 某 国 内 难 场 分 喊 冤
迪玛利亚妻子豪尔赫莉娜在社交网络上斥责皇马不懂得尊重天使的贡献价值，“如果他是雇佣兵的话，那早就离开皇马了。他从未要求800万年薪，都是谎话！他的拼搏、牺牲精神、勤奋和全身心的贡献，配得上所有的尊重…但有些大脑就是无法理解.”,天 使 妻 子 斥 皇 马 不 懂 尊 重,皇 马 无 利 豪 赫 迪 士 兵
由于拉马西亚涉嫌违规招生，巴萨被FIFA处以两个转会期不得引援的重罚。据《世界体育报》透露，国际足联真正开始调查拉马西亚青训营，始于2013年2月收到的一个匿名举报，举报者很可能是韩国足协，这源于巴萨签下了韩国小将李胜宇。,西 媒 ： 巴 萨 遭 罚 因 韩 国 足 协 举 报,巴 西 将 举 报 国 际 足 协 调 查
在确认迪马利亚已经提交转会申请之后，皇马主帅安切洛蒂又坦承赫迪拉拒绝了皇马为其提供的续约合同，赫迪拉的情况跟迪马利亚有所不同，他没有要求离队。他拒绝了我们的续约请求，但他的合同还有一年到期。,安 切 洛 蒂 确 认 赫 迪 拉 拒 绝 同 皇 马 续 约,皇 马 主 席 拒 绝 离 队
安切洛蒂在新闻发布会上说道：迪马利亚已经递交了今夏的转会申请，他拒绝了俱乐部希望他留守皇马的邀请，但现在他还是皇马球员，他会在同马竞的西班牙超级杯次回合当中先发出场。,安 切 洛 蒂 ： 迪 马 利 亚 已 递 交 转 会 申 请,安 利 亚 马 蒂 ： 我 们 在 皇 马 ， 他 留 在 皇 马
国际足联与本周五再次宣布禁止巴萨在转会期间引援直至2016年1月。这个判罚结果很可能导致加泰罗尼亚人在今夏疯狂补强。巴萨将尽快与科克取得接触，然后继续租借给马德里竞技一年，在明年夏天将其收回队中。,巴 萨 或 购 入 科 克 再 租 借 给 马 竞 1 年,巴 萨 将 在 加 强 直 接 联 合 国 租
本周六，新赛季德甲联赛将展开争夺，但卫冕冠军拜仁遭遇用人荒，蒂亚戈、拉菲尼亚、马丁内斯、小猪有伤，博阿滕遭禁赛，不过拉姆并不担心：“我们不会害怕任何事情，我们的球队依然很有实力，我知道有很多拜仁黑们都希望我们输球。,拉 姆 : 拜 仁 黑 们 都 等 着 我 们 输 球,拜 仁 禁 赛 季 ， 皇 马 球 迷 不 怕 输 球
由于在周二客场战平贝西克塔斯的欧冠附加赛当中脚踝扭伤，阿森纳中场阿尔特塔将缺阵接下来的两场比赛。另外，已经进入伤病名单的有萨诺戈和吉布斯，两人因伤均错过了做客伊斯坦布尔的首回合欧冠附加赛。,阿 尔 特 塔 因 伤 休 战 两 场,吉 塔 阿 森 纳 夺 冠 ， 缺 阵 两
贝肯鲍尔在接受《体育图片报》采访时说：“赫迪拉在任何俱乐部都能很好发挥自己的作用，他完全能够适应拜仁。他是世界上最好的6号球员之一，他可以和施魏因施泰格搭档，也可以和拉姆搭档，他会是拜仁完美的拼,贝 肯 鲍 尔 ： 赫 迪 拉 很 适 合 拜 仁,赫 迪 拜 仁 贝 尔 ： 赫 格 能 能 让 他 人 俱 乐 部
《北青网》：从本周起，建业俱乐部开始对其主场郑州航海体育场的草皮进行更换，中国足协特别工作组将于今天抵达现场“验收。协会职业联赛理事会执行局局长马成全表示，“中国足协会一直敦促建业落实其主场场地条件的完善，整改期限为本月31日。,"足 协 监 督 建 业 主 场 整 改 "" "" 菜 地 "" """,中 国 足 协 将 建 国 足 协 主 场
北京时间8月20号晚，荷兰主帅希丁克公布了其重回橙衣军团之后的首次集训大名单，因伤缺阵巴西世界杯的范德法特和范德维尔双双入选，9月5号他们将同意大利进行一场友谊赛。,希 丁 克 公 布 荷 兰 2 5 人 名 单 ： 范 德 法 特 范 德 维 尔 回 归,德 军 首 次 公 布 范 特 大 赛
北京时间8月21日凌晨，曼城官方正式宣布和哲科续约四年，哲科将留在伊蒂哈德球场直至2018年。他是继科拉罗夫、纳斯里、大卫·席尔瓦、孔帕尼和阿圭罗后第六名完成续约的球员。,曼 城 官 方 宣 布 与 哲 科 续 约 至 2 0 1 8 年,曼 城 蒂 哲 科 斯 哲 科 蒂 茨 哲 正 名
日前，托马斯-穆勒接受了《图片报》的采访，当被问及曼联是否曾接近签下自己时，穆勒说道：“当然。我知道自己要是转会的话可以拿到更多的钱。国外一些俱乐部为我提供了非常丰厚的合同，但拜仁是我的俱乐部，改换门庭不是我要考虑的问题。,托 马 斯 - 穆 勒 坦 承 曾 拒 曼 联 丰 厚 合 同,穆 勒 ： 我 们 要 要 知 道 的 曼 联
前阿森纳中场亚历山大-宋在加盟诺坎普的两年时间里一直是边缘人物，巴萨新帅路易斯-恩里克上任之后仍然不打算重用他，据《每日电讯》透露，巴萨愿意免费将喀麦隆人租借出去，诺坎普愿意接受的买断费用是800万英镑。,英 媒 ： 巴 萨 愿 免 费 出 租 宋,英 国 租 赁 喀 萨 借 断 租
在欧冠附加赛0-0战平贝西克塔斯之后，温格枪手主帅温格否认了将签下赫迪拉的传闻，他表示阿森纳在接下来的几天里不会签下任何人，“目前不会有新的签约，我没有什么需要向外界告知的，我们没有接近签下任何人。,温 格 否 认 即 将 签 约 约 赫 迪 拉,温 格 ： 未 来 下 签 下 的 未 来
在西班牙超级杯首回合的比赛中，C罗在中场休息时就被换下，安切洛蒂在赛后接受采访时说道：”C罗感觉腿筋不舒服，他明天会接受检查。初步判断他的伤势不严重。“安切洛蒂还透露关于新赛季主力门将的选择他已经做出了决定。,安 帅 ： C 罗 伤 势 不 严 重 主 力 门 将 已 确 定,安 切 洛 蒂 C 罗 ： 安 切 洛 蒂 C C C 安 切
巴西世界杯后，拉姆和里贝里都相继宣布退出了国家队，专心为拜仁效力，日前，罗本在接受采访时被问到是否会退出荷兰国家队时，罗本说道：“不，我暂时是不会退出荷兰国家队，能为国家队效力是我的骄傲！”,罗 本 ： 暂 时 不 会 退 出 荷 兰 国 家 队,退 出 国 家 队 为 何 退 出 国 家 队
今天凌晨，曼联官方宣布引进阿根廷后卫罗霍，有数据显示，在罗霍为里斯本竞技出战的49场联赛中，阿根廷后卫一共吃到21张黄牌和4张红牌，几乎每2场比赛就会吃到1一张黄牌。,曼 联 新 援 罗 霍 曾 4 9 场 吃 2 5 张 牌,阿 根 廷 联 赛 场 卫 战 场
日前，穆里尼奥在接受《卫报》采访时盛赞法布雷加斯，“我观察了法布雷加斯很多年，我很了解他，我很清楚他最适合什么位置，他是我阵容那个位置的绝对首选，但他在巴萨的角色却是伪9号，10号和边锋。,穆 帅 暗 示 巴 萨 用 废 小 法 ： 我 清 楚 他 的 最 佳 位 置,穆 里 尼 奥 ： 我 选 择 我 的 阵 容
